model,direction_type,n,median_vKv_fisher,median_vHv_CE,median_CE_minus_K_rel_error,mean_cos_HCEv_Kv,median_teacherKL_fd2,median_CE_fd2,spearman_vKv_vs_teacherKL_fd2
LLaMA-2-7B,top_fisher,96,0.34498402476310724,0.3474254608154297,0.19605807167585865,0.869716351851821,0.20079562601480394,0.2084529308918574,0.9780792186652199
LLaMA-2-7B,grad_aligned,96,0.13264679908752441,0.1265848278999328,0.3492423218473486,0.7623418772903582,0.1083510333177587,0.0832413088042951,0.9933667932718393
LLaMA-2-7B,projected_null,192,6.642898995323776e-07,3.9676379515185555e-07,0.964603323454243,0.17825132577612138,0.0002207080260174,-0.00056109793952255,0.5901208528877195
LLaMA-2-7B,random,192,8.174698393759172e-07,4.6942395215410226e-07,0.9359340913288802,0.2704188330838709,0.0002086267465505,-0.00010249725485918531,0.6469596885766217
Mistral-7B,top_fisher,96,4.617210388183594,3.923562169075012,0.2976354354664476,0.6381513468853276,3.273417438499827,3.7134209612456415,0.9754069451980466
Mistral-7B,grad_aligned,96,4.177721381187439,1.9056230187416077,0.3745006880853289,0.5353921779897064,2.7758699370529225,2.7173402344468096,0.9884698860553446
Mistral-7B,projected_null,192,1.9251086996519007e-05,8.269464615295874e-06,0.975251142191506,0.11426772154758659,0.0016031023842553,0.01616661286562435,0.6809046333722162
Mistral-7B,random,192,2.2977525077294558e-05,8.863087259669555e-06,0.9497166056305474,0.16697961528158578,0.0015554204142492001,0.01381256097411385,0.7745164528117625
